Category,date,Description,Amount
Groceries,6/15/07,Clement Mini Maclement Misan Francisco 3327 20.23,20.23
Groceries,6/15/07,Safeway Store Safeway Sbelmont Ca 3327,44.32
Cash/ATM,6/16/07,ATM Withdrawal -06/16 0021D 2055 Chestnut St San Francisco Ca 3327 100.00,100
Entertainment,6/16/07,Fog Hill Marketfog Hill Msan Francisco 3327 14.09,14.09
Shopping,6/17/07,Apple Store #R075 San Francisco Ca 43.35,43.35
Groceries,6/18/07,DelanoÍS Iga MadelanoÍS Isan Francisco 3327 18.82,18.82
Contractors / Business Services,6/19/07,Office Depot Ofoffice Depsan Carlos Ca 3327 44.37,44.37
Auto/Transportation,6/19/07,Olympian #233 San Francisco Ca 39.15,39.15
Other Spending,6/20/07,7-Eleven 22627 Q39 San Francisco Ca 8.93,8.93
Groceries,6/20/07,Albertsons Albertsonssan Carlos Ca 3327,36.48
Other Spending,6/20/07,Google *Sports 4 Good Google.Com/Ch Ca 650.16,650.16
Food/Drink,6/21/07,Burger King #10442 Q07 San Carlos Ca 6.16,6.16
Cash/ATM,6/22/07,ATM Withdrawal -06/22 Scad8298 *Santa Barbara B Of A Santa Barbaraca 3327 82.00,82
Food/Drink,6/22/07,In-N-Out Burger Salinas Ca 5.80,5.8
Other Spending,6/22/07,Non-Wells Fargo ATM Transaction Fee 2.00,2
Food/Drink,6/22/07,Peninsula Petropeninsula Soledad Ca 3327,41.63
Food/Drink,6/22/07,Una Mas Redwood City Ca 175740011123178 8.76,8.76
Cash/ATM,6/23/07,ATM Withdrawal -06/23 S1B07823 1302 State Strewashingtonsanta Barbaraca 3327 202.00,202
Entertainment,6/23/07,MadisonÍS Grill & Tave Santa Barbara Ca 21.23,21.23
Other Spending,6/23/07,Non-Wells Fargo ATM Transaction Fee 2.00,2
Groceries,6/24/07,DelanoÍS Iga MadelanoÍS Isan Francisco 3327 20.49,20.49
Food/Drink,6/25/07,Ferrignos Old County D Belmont Ca 8.99,8.99
Auto/Transportation,6/25/07,Union 76 00362806 San Francisco Ca 32.90,32.9
Food/Drink,6/26/07,Roadside Bbq San Francisco Ca 18.29,18.29
Food/Drink,6/26/07,Stardust Market San Francisco Ca 19.09,19.09
Cash/ATM,6/27/07,ATM Withdrawal -06/27 0158A 1045 Ralston Ave Belmont Ca 3327 40.00,40
Groceries,6/27/07,Nob Hill #628 Redwood City Ca 6.48,6.48
Food/Drink,6/29/07,7-Eleven 7-Eleven San Francisco 3327,11.9
Groceries,6/29/07,Office Depot Ofoffice Depsan Carlos Ca 3327 12.98,12.98
Auto/Transportation,6/29/07,Shell Oil 27441747907 San Francisco Ca 41.84,41.84
Food/Drink,6/29/07,The Patio Cafe Redwood City Ca 8.64,8.64
Food/Drink,6/30/07,In-N-Out Burger Pinole Ca 5.85,5.85
Food/Drink,6/30/07,Peets Coffee/Tea #1602 San Francisco Ca 5.00,5
Other Spending,7/1/07,7-Eleven 7-Eleven San Francisco 3327,12.03
Cash/ATM,7/1/07,ATM Withdrawal -07/01 0012A 2100 Fillmore St San Francisco Ca 3327 40.00,40
Other Spending,7/1/07,Bill Pay Service Fee On 07-01 6.95,6.95
Food/Drink,7/1/07,NoahÍS Ny Bagels #2105 San Francisco Ca 7.17,7.17
Other Spending,7/1/07,Six Flags Discovery Kg 321-249-0110Ca 32.99,32.99
Food/Drink,7/2/07,After Hours Formalwear 619-2917810Ca 70.06,70.06
Food/Drink,7/2/07,Baja Fresh 10278 San Carlos Ca 7.09,7.09
Mortgage / Rent,7/2/07,Online Transfer To Blakely D Ref #Ibex7Nrkj7 Custom Management Chkng Rent July 2007 752.00,752
Airlines / Transportation,7/2/07,Travelocity.Com 800-256-9089Tx 6.00,6
Airlines / Transportation,7/2/07,United Air 0167058361 San Antonio Tx 161.20,161.2
Cash/ATM,7/3/07,ATM Withdrawal -07/03 0158A 1045 Ralston Ave Belmont Ca 3327 40.00,40
Food/Drink,7/3/07,Subway Belmont Store # Belmont Ca 5.73,5.73
Shopping,7/4/07,Ghirardelli #101-Mnq25 San Francisco Ca 9.90,9.9
Food/Drink,7/5/07,Bills Place San Francisco Ca 189740008348479 29.57,29.57
Food/Drink,7/5/07,Nob Hill #628 Nob Hill #Redwood City Ca 3327 6.48,6.48
Groceries,7/5/07,Office Depot Ofoffice Depsan Carlos Ca 3327 81.18,81.18
Groceries,7/5/07,Safeway Store Safeway Sbelmont Ca 3327,59.6
Food/Drink,7/5/07,Starbucks Usa 00055848 San Francisco Ca 3.55,3.55
Auto/Transportation,7/5/07,Union 76 10028231 San Carlos Ca 37.72,37.72
Cash/ATM,7/7/07,ATM Withdrawal -07/07 80891451 2340 Chestnut Spresidio Tsan Francisco 3327 62.25,62.25
Other Spending,7/7/07,Non-Wells Fargo ATM Transaction Fee 2.00,2
Shopping,7/7/07,Sou Gamestop #2Sou Gamestsan Francisco 3327 97.62,97.62
Entertainment,7/9/07,The Independent San Francisco Ca 45.00,45
Cash/ATM,7/10/07,ATM Withdrawal -07/10 2095U Belmont Safeway Belmont Ca 3327 40.00,40
Food/Drink,7/10/07,Gus & Gladys Grgus & Gladbelmont Ca 3327 38.18,38.18
Other Spending,7/12/07,Monthly Point-Of-Sale (Pos) Purchase Fee 1.00,1
Other Spending,7/12/07,Monthly Service Fee 5.00,5
Groceries,7/12/07,Nob Hill #628 Nob Hill #Redwood City Ca 3327 7.57,7.57
Food/Drink,7/12/07,Roadside Bbq San Francisco Ca 15.10,15.1
Food/Drink,7/13/07,Baja Fresh 10278 San Carlos Ca 9.24,9.24
Shopping,7/13/07,Modchipstore.Com 866-897-7655Tx 39.80,39.8
Personal Care,7/13/07,Supercuts Ca #8723 Belmont Ca 17.00,17
Groceries,7/14/07,DelanoÍS Iga MadelanoÍS Isan Francisco 3327 15.83,15.83
Auto/Transportation,7/14/07,Shell Oil 27441747709 San Francisco Ca 40.17,40.17
Groceries,7/15/07,DelanoÍS Iga MadelanoÍS Isan Francisco 3327 38.74,38.74
Groceries,7/16/07,DelanoÍS Iga MadelanoÍS Isan Francisco 3327 42.84,42.84
Food/Drink,7/16/07,Quiznos Sub #4120 Q22 Belmont Ca 8.96,8.96
Shopping,7/17/07,Macupdate 269-873-1357Mi 199740005163547 49.99,49.99
Food/Drink,7/19/07,Peets Coffee/Tea 10390 San Francisco Ca 3.90,3.9
Food/Drink,7/19/07,Roadside Bbq San Francisco Ca 24.79,24.79
Food/Drink,7/19/07,Togos Baskin Robbins B Belmont Ca 7.88,7.88
Auto/Transportation,7/19/07,Union 76 00463232 Belmont Ca 37.89,37.89
Food/Drink,7/20/07,Bills Place San Francisco Ca 204740008011713 25.00,25
Food/Drink,7/20/07,Radio Shack Radio Shacsan Francisco 3327 6.50,6.5
Food/Drink,7/20/07,The Patio Cafe Redwood City Ca 10.26,10.26
Airlines / Transportation,7/21/07,Expedia*Travel 800-367-3476Nv 238.21,238.21
Food/Drink,7/23/07,Ferrignos Old County D Belmont Ca 7.50,7.5
Food/Drink,7/23/07,Radio Shack Radio Shacbelmont Ca 3327,15.35
Cash/ATM,7/24/07,ATM Withdrawal -07/24 2095U Belmont Safeway Belmont Ca 3327 40.00,40
Auto/Transportation,7/24/07,Shell Service Sshell Servsan Francisc Ca 3327 2.38,2.38
Cash/ATM,7/25/07,ATM Withdrawal -07/25 0158A 1045 Ralston Ave Belmont Ca 3327 60.00,60
Entertainment,7/25/07,Groove Tickets Los Angeles Ca 65.53,65.53
Auto/Transportation,7/25/07,Olympian #233 San Francisco Ca 38.66,38.66
Food/Drink,7/25/07,Quiznos Sub #4120 Q22 Belmont Ca 8.85,8.85
Auto/Transportation,7/27/07,Arco Paypoint Arco Paypobelmont Ca 3327 36.65,36.65
Entertainment,7/27/07,Pac Bell Conces#76455 San Francisco Ca 16.00,16
Food/Drink,7/27/07,Pac Bell Conces#76455 San Francisco Ca 26.50,26.5
Entertainment,7/27/07,Tickets* Sf Giant00 Of 800-3520212Ca 189.00,189
Food/Drink,7/27/07,Totos Pizzeria Of Belm Belmont Ca 7.85,7.85
Groceries,7/28/07,DelanoÍS Iga Marke San Francisco Ca 50.28,50.28
Food/Drink,7/28/07,Memphis Minnies Bbq Jo San Francisco Ca 12.42,12.42
Cash/ATM,7/30/07,ATM Withdrawal -07/30 0045B 725 Irving St San Francisco Ca 3327 60.00,60
Entertainment,7/30/07,Haight Ashbury Haight Ashsan Francisco 3327 12.78,12.78
Food/Drink,7/30/07,Sushi Monster Belmont Ca 213740006071651 17.00,17
Food/Drink,7/31/07,Una Mas Redwood City Ca 214740008430119 8.16,8.16
Other Spending,8/1/07,Bill Pay Service Fee On 08-01 6.95,6.95
Food/Drink,8/1/07,Burger King #10442 Q07 San Carlos Ca 6.16,6.16
Cash/ATM,8/2/07,ATM Withdrawal -08/02 0158A 1045 Ralston Ave Belmont Ca 3327 40.00,40
Mortgage / Rent,8/2/07,Online Transfer To Blakely D Ref #Ibetbpmqh7 Custom Management Chkng Rent August 832.00,832
Groceries,8/2/07,Safeway Store Safeway Sbelmont Ca 3327,6.61
Auto/Transportation,8/3/07,Union 76 00362806 San Francisco Ca 15.73,15.73
Groceries,8/3/07,Vons Store Vons Ssan Diego Ca 3327,29.65
Lodging,8/4/07,Pacific Inn 619-2326391Ca 219740007835798 100.00,100
Entertainment,8/4/07,Side Bar San Diego Ca 218740010015677 90.00,90
Entertainment,8/4/07,Whiskey Girl San Diego Ca 217740011947018 15.00,15
Airlines / Transportation,8/5/07,Hmshost-Lax-Air Q63 Los Angeles Ca 9.07,9.07
Entertainment,8/5/07,Richard WalkerÍS Panca San Diego Ca 123.74,123.74
Groceries,8/5/07,Travel Traders # 00777 San Diego Ca 9.69,9.69
Food/Drink,8/6/07,Bills Place San Francisco Ca 221740005975069 21.43,21.43
Auto/Transportation,8/6/07,Central Parking 10001 San Francisco Ca 99.00,99
Postage / Delivery,8/6/07,Fedex KinkoÍS #4097 San Mateo Ca 12.47,12.47
Other Spending,8/6/07,Ma Lot San Diego Ca 220740011056401 3.00,3
Food/Drink,8/6/07,Sushi Monster Belmont Ca 220740006860510 12.74,12.74
Postage / Delivery,8/6/07,Usps 0567830101 Belmont Ca 4.60,4.6
Shopping,8/7/07,Amz*Amazon Payments Amzn.Com/Bill Wa 28.87,28.87
Auto/Transportation,8/7/07,Olympian #233 San Francisco Ca 38.00,38
Food/Drink,8/7/07,Panda Express 00003889 San Mateo Ca 7.20,7.2
Shopping,8/7/07,Watch Care 1 San Mateo Ca 220740009846727 30.55,30.55
Auto/Transportation,8/10/07,Arco Paypoint Arco Paypobelmont Ca 3327 34.54,34.54
Other Spending,8/10/07,Monthly Point-Of-Sale (Pos) Purchase Fee 1.00,1
Other Spending,8/10/07,Monthly Service Fee 5.00,5
Groceries,8/10/07,Nob Hill #628 Nob Hill #Redwood City Ca 3327 19.45,19.45
Groceries,8/10/07,Nob Hill #628 Nob Hill #Redwood City Ca 3327 8.60,8.6
Cash/ATM,8/11/07,ATM Withdrawal -08/11 P31222 2198 Union Stremichaelis San Francisco 3327 82.00,82
Other Spending,8/11/07,Non-Wells Fargo ATM Transaction Fee 2.00,2
Food/Drink,8/12/07,South Beach Cafe Inc San Francisco Ca 11.98,11.98
Other Spending,8/14/07,Ampco-San Jose IntÍL A San Jose Ca 42.00,42
Auto/Transportation,8/14/07,Union 76 10028231 San Carlos Ca 35.83,35.83
Cash/ATM,8/15/07,ATM Withdrawal -08/15 Scad0077 *7Th And Clemenb Of A San Francisco 3327 63.00,63
Other Spending,8/15/07,Non-Wells Fargo ATM Transaction Fee 2.00,2
Cash/ATM,8/15/07,Office Depot Ofoffice Depsan Carlos Ca 3327 7.57,7.57
Airlines / Transportation,8/15/07,Orb Ap190101W9Jkxojn Orbitz.Com Il 6.99,6.99
Airlines / Transportation,8/15/07,United Air 0167170325Mankato Mn 314.70,314.7
Food/Drink,8/17/07,GiorgioÍS Pizza San Francisco Ca 131.55,131.55
Shopping,8/18/07,Circuit City Ss #0242 San Francisco Ca 46.64,46.64
Auto/Transportation,8/18/07,Union 76 10034015 San Francisco Ca 38.95,38.95
Groceries,8/20/07,DelanoÍS Iga MadelanoÍS Isan Francisco 3327 31.49,31.49
Groceries,8/20/07,Nob Hill #628 Redwood City Ca 7.03,7.03
Personal Care,8/21/07,Blue Cross Of Californ 800-333-0912Ca 53.72,53.72
Auto/Transportation,8/22/07,Google *Carcoverusa Google.Com/Ch Ca 52.99,52.99
Groceries,8/23/07,Safeway Store Safeway Sbelmont Ca 3327,10.13
Auto/Transportation,8/23/07,Shell Oil 27441747907 San Francisco Ca 34.02,34.02
Other Spending,8/25/07,7-Eleven 7-Eleven San Francisco 3327,15.83
Groceries,8/25/07,Shanghai KellyÍS San Francisco Ca 55.50,55.5
Groceries,8/27/07,Circuit City 12Circuit Cisan Francisco 3327 21.69,21.69
Food/Drink,8/27/07,Peets Coffee/Tea 10390 San Francisco Ca 3.90,3.9
Groceries,8/27/07,Safeway Store Safeway Sbelmont Ca 3327,43.02
Food/Drink,8/27/07,Sushi Monster Belmont Ca 241740007568372 27.62,27.62
Auto/Transportation,8/28/07,Union 76 10028231 San Carlos Ca 32.98,32.98
Groceries,8/29/07,Nob Hill #628 Nob Hill #Redwood City Ca 3327 7.03,7.03
Food/Drink,8/30/07,Ferrignos Old County D Belmont Ca 8.81,8.81
Food/Drink,8/30/07,Peets Coffee/Tea 10390 San Francisco Ca 3.90,3.9
Cash/ATM,8/31/07,ATM Withdrawal -08/31 0158A 1045 Ralston Ave Belmont Ca 3327 100.00,100
Auto/Transportation,8/31/07,Olympian Pacheco San Francisco Ca 35.90,35.9
Food/Drink,8/31/07,Roadside Bbq San Francisco Ca 24.68,24.68
Food/Drink,8/31/07,The Patio Cafe Redwood City Ca 3.50,3.5
Groceries,9/1/07,7-Eleven 7-Eleven San Francisco 3327,5.02
Other Spending,9/2/07,Bill Pay Service Fee On 09-02 6.95,6.95
Entertainment,9/2/07,Buccaneer San Francisco Ca 246740011200072 30.00,30
Food/Drink,9/3/07,Serra Bowl Inc Daly City Ca 12.75,12.75
Cash/ATM,9/4/07,ATM Withdrawal -09/04 0158A 1045 Ralston Ave Belmont Ca 3327 40.00,40
Mortgage / Rent,9/4/07,Blue Cross Of Californ 800-333-0912Ca 124.00,124
Mortgage / Rent,9/4/07,Online Transfer To Blakely D Ref #Ibex7Tl8Y5 Custom Management Chkng Rent September 832.00,832
Food/Drink,9/4/07,Peets Coffee/Tea 10390 San Francisco Ca 1.75,1.75
Food/Drink,9/5/07,Baja Fresh 10278 San Carlos Ca 9.24,9.24
Food/Drink,9/5/07,Car Audio Specicar Audio Belmont Ca 3327 180.00,180
Other Spending,9/5/07,Tmobile*Hotspot 800-981-8563Tx 6.00,6
Auto/Transportation,9/6/07,State Market/47State Marksan Francisco 3327 19.25,19.25
Auto/Transportation,9/6/07,Union 76 00463232 Belmont Ca 34.55,34.55
Other Spending,9/7/07,Ampco Parking Mason Of San Francisco Ca 7.50,7.5
Food/Drink,9/7/07,Wendys #3863 Q25 Q25 Belmont Ca 5.94,5.94
Cash/ATM,9/8/07,ATM Withdrawal -09/08 0076A 1900 Union St San Francisco Ca 3327 200.00,200
Other Spending,9/9/07,Ampco Parking Mason Of San Francisco Ca 17.50,17.5
Groceries,9/10/07,Nob Hill #628 Nob Hill #Redwood City Ca 3327 7.03,7.03
Shopping,9/10/07,Paypal *6612579993 402-935-7733Ca 199.41,199.41
Food/Drink,9/11/07,Totos Pizzeria Of Belm Belmont Ca 7.04,7.04
Personal Care,9/12/07,Supercuts Ca #8723 Belmont Ca 17.00,17
Auto/Transportation,9/12/07,Union 76 00463232 Belmont Ca 37.24,37.24
Auto/Transportation,9/12/07,Union 76 10034015 San Francisco Ca 13.15,13.15
Auto/Transportation,9/12/07,Union 76 10034015 San Francisco Ca 4.18,4.18
Other Spending,9/13/07,Monthly Point-Of-Sale (Pos) Purchase Fee 1.00,1
Other Spending,9/13/07,Monthly Service Fee 5.00,5
Food/Drink,9/13/07,Roadside Bbq San Francisco Ca 15.10,15.1
Food/Drink,9/13/07,Sushi Monster Belmont Ca 259740016390474 13.00,13
Shopping,9/14/07,Bon Appetit @ 50153162 Redwood City Ca 7.63,7.63
Shopping,9/14/07,Online Transfer To Lawrence R Ref #Ibe52Gbcyt Checking Ipod Money 170.00,170
Entertainment,9/15/07,Slims San Francisco Ca 259740009774464 15.00,15
Food/Drink,9/17/07,Panchos Mexican Grill San Francisco Ca 22.62,22.62
Entertainment,9/18/07,AMC Van Ness 04004347 San Francisc Ca 9.00,9
Shopping,9/18/07,Radio Shack Radio Shacbelmont Ca 3327,7.57
Food/Drink,9/18/07,Una Mas Redwood City Ca 263740007320346 8.49,8.49
Auto/Transportation,9/19/07,Arco Paypoint Arco Paypobelmont Ca 3327 25.87,25.87
Food/Drink,9/19/07,Bills Place San Francisco Ca 266740015491162 9.77,9.77
Cash/ATM,9/20/07,ATM Withdrawal -09/20 0158A 1045 Ralston Ave Belmont Ca 3327 40.00,40
Food/Drink,9/20/07,Baja Fresh 10278 San Carlos Ca 7.04,7.04
Auto/Transportation,9/21/07,7-Eleven 7-Eleven San Francisco 3327,12.38
Cash/ATM,9/21/07,ATM Withdrawal -09/21 9868B 1726 Haight St San Francisco Ca 3327 60.00,60
Food/Drink,9/21/07,Sushi Monster Belmont Ca 267740010342157 22.00,22
Auto/Transportation,9/21/07,Union 76 10028231 San Carlos Ca 36.95,36.95
Food/Drink,9/22/07,HobsonÍS Choice 415-621-5859Ca 22.36,22.36
Shopping,9/23/07,Sou Best Buy #1Sou Best Bsan Francisco 3327 34.71,34.71
Auto/Transportation,9/24/07,Union 76 00250142 San Francisco Ca 36.16,36.16
Food/Drink,9/25/07,Una Mas Redwood City Ca 270740007834785 8.16,8.16
Personal Care,9/26/07,24 Hour Fitness #705 Carlsbad Ca 599.87,599.87
Groceries,9/26/07,Nob Hill #628 Nob Hill #Redwood City Ca 3327 66.18,66.18
Food/Drink,9/26/07,Peets Coffee/Tea 10390 San Francisco Ca 3.90,3.9
Food/Drink,9/27/07,Roadside Bbq San Francisco Ca 8.61,8.61
Auto/Transportation,9/28/07,Arco Paypoint Arco Paypobelmont Ca 3327 28.54,28.54
Auto/Transportation,9/28/07,Arco Paypoint Arco Paypobelmont Ca 3327 5.27,5.27
Food/Drink,9/28/07,Una Mas Redwood City Ca 273740011565349 8.49,8.49
Food/Drink,9/29/07,Central Coast Pizza Co Atascadero Ca 22.90,22.9
Shopping,9/29/07,Cns Epress Llc Cns Epresssan Luis Obisca 3327 243.49,243.49
Shopping,9/29/07,Mervyns -San Lmervyns -San Luis Obisca 3327 60.31,60.31
Shopping,9/29/07,TomÍS Toys San Luis Obis Ca 14.00,14
Auto/Transportation,9/30/07,Union 76 46044897 Atasacadero Ca 31.99,31.99
Auto/Transportation,9/30/07,Union 76 46044897 Atasacadero Ca 4.37,4.37
Personal Care,10/1/07,Blue Cross Of Californ 800-333-0912Ca 124.00,124
Food/Drink,10/1/07,Subway Belmont Store # Belmont Ca 8.65,8.65
Auto/Transportation,10/1/07,Union 76 10028231 San Carlos Ca 32.26,32.26
Food/Drink,10/2/07,Burger King #10442 Q07 San Carlos Ca 4.11,4.11
Mortgage / Rent,10/2/07,Online Transfer To Blakely D Ref #Ibemjrbsb3 Custom Management Chkng Rent October 832.00,832
Groceries,10/2/07,Safeway Store Safeway Sbelmont Ca 3327,41.48
Food/Drink,10/2/07,Una Mas Redwood City Ca 277740007827804 8.16,8.16
Food/Drink,10/3/07,Ferrignos Old County D Belmont Ca 8.81,8.81
Cash/ATM,10/4/07,ATM Withdrawal -10/04 0158B 1045 Ralston Ave Belmont Ca 3327 40.00,40
Shopping,10/4/07,Gen*Journeys Shoes 888-324-6356Tn 74.04,74.04
Auto/Transportation,10/4/07,Shell Oil 27441747907 San Francisco Ca 37.00,37
Food/Drink,10/5/07,Foreign Cinema San Francisco Ca 20.00,20
Food/Drink,10/5/07,Foreign Cinema San Francisco Ca 31.00,31
Auto/Transportation,10/5/07,Shell Service Sshell Servsan Francisco 3327 5.53,5.53
Food/Drink,10/5/07,Subway Belmont Store # Belmont Ca 8.65,8.65
Food/Drink,10/6/07,Cafe Sevilla Of Rivers Riverside Ca 16.50,16.5
Other Spending,10/6/07,Clicknprint Tickets 888-695-0888Tx 40.00,40
Shopping,10/6/07,Gen*Journeys Shoes 888-324-6356Tn 5.10,5.1
Shopping,10/6/07,Gen*Journeys Shoes 888-324-6356Tn 59.99,59.99
Entertainment,10/7/07,The Royal Falconer Riverside Ca 15.00,15
Other Spending,10/11/07,Monthly Point-Of-Sale (Pos) Purchase Fee 1.00,1
Other Spending,10/11/07,Monthly Service Fee 5.00,5
Cash/ATM,10/11/07,Withdrawal Made In A Branch/Store 100.00,100
Cash/ATM,10/11/07,Withdrawal Made In A Branch/Store 100.00,100
Groceries,10/12/07,7-Eleven 7-Eleven San Francisco 5306,36.22
Cash/ATM,10/14/07,ATM Withdrawal -10/14 80891503 2522 Mission Stmedjool Insan Francisco 5306 62.95,62.95
Cash/ATM,10/16/07,ATM Withdrawal -10/16 9923E 833 Mission St San Francisco Ca 3335 40.00,40
Auto/Transportation,10/16/07,Fifth And Mission Yerb San Francisco Ca 9.00,9
Shopping,10/16/07,Gap Usa Gap Usa San Mateo Ca 3335,38.97
Other Spending,10/16/07,Non-Wells Fargo ATM Transaction Fee 2.00,2
Auto/Transportation,10/16/07,Olympian #233 Olympian #San Francisco 5306 35.00,35
Entertainment,10/16/07,Thirstybear Brewing Co San Francisco Ca 28.79,28.79
Cash/ATM,10/17/07,ATM Withdrawal -10/17 2315L San Francisco Airport San Francisco Ca 3335 80.00,80
Groceries,10/17/07,Safeway Store Safeway Sbelmont Ca 3335,19.6
Food/Drink,10/18/07,Hms Host -Sfo Airpt San Francisco Ca 13.27,13.27
Food/Drink,10/18/07,Marshall Stack New York Ny 16.00,16
Entertainment,10/18/07,Maui Wowi Cm 315 Dulles Va 4.08,4.08
Entertainment,10/18/07,R Bar New York Ny 294740018509556 16.00,16
Food/Drink,10/18/07,Tidewater Landing Dulles Va 9.83,9.83
Shopping,10/19/07,Apple Store #R095 New York Ny 54.13,54.13
Food/Drink,10/19/07,Key West Diner New York Ny 44.50,44.5
Food/Drink,10/19/07,The Triple Crown New York Ny 103.17,103.17
Food/Drink,10/20/07,Gristedes #5 Gristedes New York Ny 3335 14.38,14.38
Shopping,10/20/07,Ltb Jeans Fairview Nj 294740012620372 72.00,72
Food/Drink,10/20/07,Miro Cafe New York Ny 295740010398638 13.80,13.8
Airlines / Transportation,10/20/07,Sou Mta Vendingsou Mta Ve212-Metrocardny 3335 10.00,10
Entertainment,10/20/07,Top Of The Rock Llc 212-6982000Ny 18.97,18.97
Food/Drink,10/20/07,Union Pool Brooklyn Ny 295740011384263 7.00,7
Auto/Transportation,10/21/07,Central Parking 10001 San Francisco Ca 58.00,58
Food/Drink,10/21/07,Jack In The Bo00005587 San Francisco Ca 7.14,7.14
Airlines / Transportation,10/21/07,Njt Ny Penn Stanjt Ny Pennew York Ny 3335 15.00,15
Food/Drink,10/22/07,Baja Fresh 10278 San Carlos Ca 8.87,8.87
Groceries,10/22/07,DelanoÍS Iga MadelanoÍS Isan Francisco 3335 36.91,36.91
Auto/Transportation,10/22/07,Holly Gas & Dieholly Gas San Carlos Ca 3335 3.18,3.18
Food/Drink,10/22/07,Peets Coffee/Tea 10390 San Francisco Ca 1.75,1.75
Auto/Transportation,10/23/07,Arco Paypoint Arco Paypobelmont Ca 3335 37.05,37.05
Cash/ATM,10/23/07,ATM Withdrawal -10/23 0158A 1045 Ralston Ave Belmont Ca 3335 60.00,60
Food/Drink,10/23/07,Starbucks Usa 00054205 Redwood City Ca 1.75,1.75
Food/Drink,10/24/07,Sushi Monster Belmont Ca 299740007218816 23.89,23.89
Shopping,10/25/07,Amazon.Com Amzn.Com/Bill Wa 36.64,36.64
Cash/ATM,10/26/07,ATM Withdrawal -10/26 0064B 2595 Mission St San Francisco Ca 3335 100.00,100
Food/Drink,10/26/07,Totos Pizzeria Of Belm Belmont Ca 9.47,9.47
Auto/Transportation,10/26/07,Union 76 10034015 San Francisco Ca 15.06,15.06
Entertainment,10/27/07,The Catalyst Nightclub Santa Cruz Ca 26.00,26
Entertainment,10/27/07,The Catalyst Nightclub Santa Cruz Ca 33.00,33
Food/Drink,10/28/07,Bills Place San Francisco Ca 304740005806513 18.45,18.45
Groceries,10/29/07,DelanoÍS Iga MadelanoÍS Isan Francisco 3335 42.34,42.34
Food/Drink,10/29/07,Subway Belmont Store # Belmont Ca 8.65,8.65
Auto/Transportation,10/29/07,Union 76 00416479 Redwood City Ca 37.88,37.88
Food/Drink,10/30/07,Thai Time Restaura 415-831-3663Ca 51.35,51.35
Health,10/31/07,Walgreen Companwalgreen Csan Francisco 3335 16.92,16.92
Food/Drink,11/1/07,Burger King #10442 Q07 San Carlos Ca 6.81,6.81
Food/Drink,11/1/07,Butter San Francisco Ca 306740006440926 38.00,38
Auto/Transportation,11/1/07,Union 76 10028231 San Carlos Ca 39.03,39.03
Cash/ATM,11/2/07,ATM Withdrawal -11/02 1117J Redwood Shores Pkwy Redwood City Ca 3335 60.00,60
Food/Drink,11/2/07,Nnt PitaÍS Cafennt PitaÍSsan Francisco 3335 2.73,2.73
Groceries,11/2/07,Nob Hill #628 Nob Hill #Redwood City Ca 3335 8.72,8.72
Shopping,11/2/07,Sunglass Hut 60001617 San Mateo Ca 5.40,5.4
Entertainment,11/2/07,Tickets* Sf Giant00 Of 800-3520212Ca 48.50,48.5
Shopping,11/2/07,Watch Care 1 San Mateo Ca 308740020037879 69.95,69.95
Entertainment,11/3/07,MomoÍS San Francisco Ca 309740009708584 160.00,160
Cash/ATM,11/4/07,ATM Withdrawal -11/04 0019B 3624 Geary Blvd San Francisco Ca 3335 40.00,40
Food/Drink,11/4/07,City Tavern San Francisco Ca 8.00,8
Food/Drink,11/5/07,Baja Fresh 10278 San Carlos Ca 9.24,9.24
Food/Drink,11/5/07,Bills Place San Francisco Ca 312740006151982 28.43,28.43
Food/Drink,11/5/07,Peets Coffee/Tea 10390 San Francisco Ca 1.75,1.75
Credit Card/Loan Payments,11/6/07,Bill Pay Wells Fargo Educ On-Line,300
Auto/Transportation,11/6/07,Olympian #233 San Francisco Ca 39.64,39.64
Cash/ATM,11/7/07,ATM Withdrawal -11/07 1117J Redwood Shores Pkwy Redwood City Ca 3335 80.00,80
Groceries,11/7/07,Coco 500 San Francisco Ca 313740007155660 102.46,102.46
Groceries,11/7/07,Nob Hill #628 Redwood City Ca 16.11,16.11
